Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
-0.37902558,-0.43075308,-0.14516069,-0.7109057,0.5887918,0.6385494,0.9484924,-0.76049167,0.81908464,-0.84604025,-0.37761396,-0.7745952,-0.73601234,0.5156459
-0.64399993,-0.9313046,-0.29357064,0.936327,0.74861205,-0.09495461,0.74245954,0.6253086,-0.5615035,-0.6200472,-0.035079535,0.837554,0.09602318,-0.9165471
-0.83636963,-0.5998068,0.6670393,0.78768504,0.9079044,0.26463306,0.9272027,-0.22084264,0.07193437,0.057265688,0.6197959,0.26273242,-0.41525757,-0.47614592
-0.64816695,0.19105949,-0.594054,-0.9341621,0.83574474,0.90228945,0.9369766,-0.54966015,0.735748,-0.8302158,0.15928186,-0.76941043,-0.9428568,0.48637065
-0.42781934,-0.6765923,0.61422825,0.9044054,-0.35897264,-0.36906916,-0.38554063,0.0826275,-0.46301666,0.8273039,0.45117858,0.93238467,0.8443321,-0.5080803
0.8756429,0.86584336,-0.4722289,-0.81261843,-0.97183335,-0.501723,-0.9969026,0.47883728,-0.47196034,0.8599043,-0.45043623,0.6708964,0.8057302,0.27161843
0.35499117,-0.26898214,-0.6611125,-0.7810897,-0.9304644,-0.1961496,-0.97884506,-0.27626544,0.12554117,0.67695814,-0.74360716,0.96958697,0.7793702,-0.45235914
-0.72400814,-0.7328027,-0.95962113,-0.35090464,0.29493907,0.8962731,-0.65142477,0.7796535,-0.79430974,-0.4058435,0.67332405,0.98583883,-0.6172123,-0.81916535
0.51533455,0.7535698,0.9375515,-0.60993254,-0.42667654,-0.5976417,0.6399778,-0.92971283,0.9418752,0.44436133,-0.71577483,-0.96678376,0.34576657,0.91002065
-0.8072665,-0.5856291,-0.9577971,-0.600369,0.7358288,0.9231288,-0.46979734,0.78088295,-0.75885946,-0.5321137,0.66378,0.97268444,-0.8558255,-0.8887317
-0.66068137,0.066424094,-0.69401747,-0.91766065,0.8466106,0.9037692,0.93643284,-0.43840492,0.66676193,-0.87344086,0.13518935,-0.7353297,-0.9451074,0.37432948
-0.013959967,-0.77118164,-0.30248484,0.96961254,-0.50097644,-0.5044917,-0.7866308,0.8533499,-0.9136061,0.33227366,0.3978872,0.94925445,0.87318075,-0.83674884
0.8549786,0.17521687,0.91261935,0.22805548,-0.9623965,-0.89341486,-0.4796332,-0.84280694,0.8656259,0.83656377,-0.81525826,-0.37877765,0.9644228,0.8837427
-0.9292449,0.5748562,-0.34638914,-0.3126557,0.9393139,0.9773109,0.51739573,0.522025,-0.51518905,0.602221,0.9840039,0.77203417,-0.9198925,-0.0110827265
-0.9733906,-0.19557905,0.5232874,-0.4661779,0.94433707,0.96222377,0.9422099,-0.6847237,0.5912604,0.56664836,0.9513987,0.7950296,-0.86562485,0.16622293
0.20053759,0.603614,0.7535422,-0.7249471,-0.10453277,0.25822973,0.75744516,-0.88249,0.88892144,0.038103644,-0.15687753,-0.9302849,-0.29008287,0.9277671
